epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84513,1.98132,4.83138,1.50547,0.0026,0.78125,0.00257,0.00096,1.56411,4.10204,1.39496,0.000571429,0.000571429,0.000571429
2,8.19874,2.03176,4.80647,1.54134,0.0026,0.78125,0.00251,0.00098,1.56083,4.10903,1.41866,0.00111552,0.00111552,0.00111552
3,9.61568,2.60815,5.82429,2.33178,0.00313,0.9375,0.00328,0.00103,1.75636,4.67027,1.63507,0.00152762,0.00152762,0.00152762
4,11.0868,2.02214,4.44985,1.61388,0.00333,1,0.0055,0.00246,1.82278,3.96566,1.52216,0.001406,0.001406,0.001406
5,12.5404,1.77181,3.55873,1.47156,0.00333,1,0.00528,0.00245,1.66772,4.07636,1.39431,0.001208,0.001208,0.001208
6,14.0314,1.61919,3.15479,1.48969,0.00333,1,0.00518,0.00271,1.41756,3.82923,1.33781,0.00101,0.00101,0.00101
7,15.5279,1.5701,2.82081,1.46977,0.00333,1,0.68684,0.3505,1.37376,3.55604,1.2671,0.000812,0.000812,0.000812
8,16.9817,1.48729,2.63451,1.30413,0.00463,1,0.75104,0.39909,1.32934,3.30368,1.2389,0.000614,0.000614,0.000614
9,18.4229,1.35546,2.3649,1.24226,0.02667,1,0.64771,0.34217,1.3315,3.22713,1.23436,0.000416,0.000416,0.000416
10,19.9976,1.32106,2.33251,1.25179,0.64135,0.34375,0.71743,0.38286,1.32109,3.06296,1.19978,0.000218,0.000218,0.000218
